DATE,MEHOINUSMAA672N
1984-01-01,60750
1985-01-01,61453
1986-01-01,64961
1987-01-01,66737
1988-01-01,66352
1989-01-01,69072
1990-01-01,66120
1991-01-01,62861
1992-01-01,62443
1993-01-01,62089
1994-01-01,66457
1995-01-01,61807
1996-01-01,61640
1997-01-01,64199
1998-01-01,63827
1999-01-01,64946
2000-01-01,66737
2001-01-01,72523
2002-01-01,68121
2003-01-01,68078
2004-01-01,67672
2005-01-01,70485
2006-01-01,67435
2007-01-01,69288
2008-01-01,68845
2009-01-01,68000
2010-01-01,68655
2011-01-01,69156
2012-01-01,68088
2013-01-01,65906
2014-01-01,65454
2015-01-01,70214
2016-01-01,73820
2017-01-01,73227
